bankName,cardName,imgUrl,benefit,type,rotate,position
네이버페이,네이버페이 머니카드,https://d1c5n4ri2guedi.cloudfront.net/card/2626/card_img/31677/2625card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
신한카드,신한카드 SOL트래블 체크,https://d1c5n4ri2guedi.cloudfront.net/card/2667/card_img/32473/2660card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
신한카드,신한카드 SOL트립앱J 체크,https://d1c5n4ri2guedi.cloudfront.net/card/2977/card_img/48338/2977card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
하나카드,하나 나라사랑카드,https://d1c5n4ri2guedi.cloudfront.net/card/2934/card_img/46852/2934card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,90,center
KG 파이낸셜,모빌카드,https://d1c5n4ri2guedi.cloudfront.net/card/2321/card_img/23849/2321card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
KB국민카드,트래블러스 체크카드(토심이),https://d1c5n4ri2guedi.cloudfront.net/card/2691/card_img/33455/2691card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
우체국,우체국 MY-TYPE 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2976/card_img/48424/2976card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
토스뱅크,토스뱅크 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2269/card_img/40299/2269card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
하나카드, 네이버페이 머니 하나 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2432/card_img/27295/2432card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
신한카드,신한카드 Deep Dream 체크,https://d1c5n4ri2guedi.cloudfront.net/card/281/card_img/20503/281card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,90,center
우체국,개이득 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2519/card_img/28824/2519card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
우리카드,카드의정석 오하CHECK,https://d1c5n4ri2guedi.cloudfront.net/card/2570/card_img/46005/2570_card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
하나카드,트래블로그 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2394/card_img/25975/2394card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
NH농협카드,NH20해봄체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/362/card_img/45717/362card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,90,center
카카오뱅크,카카오뱅크 프렌즈 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/435/card_img/46143/435card_2.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
KB국민카드,노리2 체크카드(Global),https://d1c5n4ri2guedi.cloudfront.net/card/2423/card_img/27142/2423card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
현대카드,현대카드M CHECK,https://d1c5n4ri2guedi.cloudfront.net/card/407/card_img/28394/407card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
신한카드,신한카드 나라사랑카드 체크,https://d1c5n4ri2guedi.cloudfront.net/card/2933/card_img/46578/2933card.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
KB국민카드,KB 틴업 체크카드,https://d1c5n4ri2guedi.cloudfront.net/card/2852/card_img/46803/2852card_1.png,"국내외 가맹점 1% 적립
해외 가맹점 3% 적립
항공·면세점·여행 3% 적립",체크,0,center
